x,y,z,t
0.189,-0.112,-0.206,0.000
0.153,13.608,1.062,0.000
0.187,20.989,-2.042,0.000
0.143,12.015,-9.054,0.000
0.163,8.919,-5.551,0.000
-6.521,14.891,-3.891,0.000
6.828,14.855,-3.825,0.000
-6.316,15.715,-8.298,0.000
6.503,15.690,-8.358,0.000
0.153,28.851,7.565,0.000
0.152,6.229,-6.561,0.000
-0.625,7.057,-6.118,0.000
0.933,7.060,-6.144,0.000
0.152,16.430,3.603,0.000
-3.691,-0.963,9.141,0.000
3.943,-0.960,9.123,0.000
-7.905,12.770,10.046,0.000
8.204,12.796,10.039,0.000
0.157,-13.878,5.115,0.000
0.126,16.488,4.914,0.000
-12.901,1.655,-14.242,0.000
12.888,1.597,-14.301,0.000
-7.450,5.398,-9.194,0.000
7.752,5.343,-9.108,0.000
-8.222,2.797,-14.322,0.000
8.506,2.802,-14.356,0.000
-6.057,20.975,6.248,0.000
6.320,21.052,6.334,0.000
-16.512,24.676,1.128,0.000
16.719,24.639,1.056,0.000
-4.394,-13.724,3.448,0.000
4.698,-13.703,3.488,0.000
