x,y,z,t
0.1859,-0.562178,-0.727762,0
0.243121,12.3031,-0.263913,0
0.295789,18.7276,-2.44584,0
0.145597,10.9867,-9.19109,0
0.131207,8.02413,-5.5541,0
-5.94899,13.4441,-4.38842,0
6.43066,13.5327,-4.73137,0
-5.53636,14.4169,-8.52858,0
5.83599,14.4935,-8.89192,0
0.317708,26.9483,6.89016,0
0.114821,5.59849,-6.52951,0
-0.678365,6.30432,-5.97014,0
0.917619,6.32056,-6.05029,0
0.223272,15.3012,2.59115,0
-3.31711,-0.77063,8.71419,0
3.72422,-0.685177,8.6553,0
-6.52319,12.029,8.86822,0
6.97725,12.1131,8.53305,0
0.349109,-12.475,5.64665,0
0.193756,15.8513,3.93729,0
-11.5891,2.11179,-12.9435,0
11.7666,2.07949,-13.9518,0
-7.3053,4.28422,-9.54087,0
7.3301,4.34003,-9.92355,0
-8.10752,2.70187,-13.4541,0
8.13292,2.70145,-14.0832,0
-5.27733,19.341,4.67837,0
5.81205,19.369,4.40883,0
-13.8525,22.6217,0.990874,0
14.3977,22.7405,0.0653696,0
-4.35174,-12.7466,3.60126,0
4.74701,-12.6283,3.4324,0
